tube,top,bottom,length,Na (ppb),NH4 (ppb),K (ppb),Mg (ppb),Ca (ppb),Cl (ppb),NO3 (ppb),SO4 (ppb)
2,14.03030303,14.06060606,0.03030303,0,0,0,0,0,366.4,17.47,0
2,14.06060606,14.09090909,0.03030303,0,0,0,0,0,261.27,19.53,0
2,14.09090909,14.12121212,0.03030303,0,0,0,0,0,92.35,28.59,0
2,14.12121212,14.15151515,0.03030303,0,0,0,0,0,45.88,36.37,0
2,14.15151515,14.18181818,0.03030303,0,0,0,0,0,107.72,36.13,0
2,14.18181818,14.21212121,0.03030303,0,0,0,0,0,153.25,46.26,0
2,14.21212121,14.24242424,0.03030303,0,0,0,0,0,153.68,41.25,0
2,14.24242424,14.27272727,0.03030303,0,0,0,0,0,50.74,49.44,0
2,14.27272727,14.3030303,0.03030303,0,0,0,0,0,42.95,37.68,0
2,14.3030303,14.33333333,0.03030303,0,0,0,0,0,102.07,55.45,0
2,14.33333333,14.36363636,0.03030303,0,0,0,0,0,134.82,40.79,0
2,14.36363636,14.39393939,0.03030303,0,0,0,0,0,175.36,20.96,0
2,14.39393939,14.42424242,0.03030303,0,0,0,0,0,169.76,17.03,0
2,14.42424242,14.45454545,0.03030303,0,0,0,0,0,217.66,14.84,0
2,14.45454545,14.48484848,0.03030303,0,0,0,0,0,81.45,19.74,0
2,14.48484848,14.51515152,0.03030303,0,0,0,0,0,61.54,28.26,0
2,14.51515152,14.54545455,0.03030303,0,0,0,0,0,80.54,24.6,0
2,14.54545455,14.57575758,0.03030303,0,0,0,0,0,96.91,50.28,0
2,14.57575758,14.60606061,0.03030303,0,0,0,0,0,125.7,40.04,0
2,14.60606061,14.63636364,0.03030303,0,0,0,0,0,189.15,36.21,0
2,14.63636364,14.66666667,0.03030303,0,0,0,0,0,211.84,34.18,0
2,14.66666667,14.6969697,0.03030303,0,0,0,0,0,182.76,38.83,0
2,14.6969697,14.72727273,0.03030303,0,0,0,0,0,95.66,51.15,0
2,14.72727273,14.75757576,0.03030303,0,0,0,0,0,43.22,47.29,0
2,14.75757576,14.78787879,0.03030303,0,0,0,0,0,33.96,43.97,0
2,14.78787879,14.81818182,0.03030303,0,0,0,0,0,32.2,38.64,0
2,14.81818182,14.84848485,0.03030303,0,0,0,0,0,30.7,46.28,0
2,14.84848485,14.87878788,0.03030303,0,0,0,0,0,64.88,42.07,0
2,14.87878788,14.90909091,0.03030303,0,0,0,0,0,86.95,42,0
2,14.90909091,14.93939394,0.03030303,0,0,0,0,0,114.06,36.81,0
2,14.93939394,14.96969697,0.03030303,0,0,0,0,0,73.98,40.68,0
2,14.96969697,15,0.03030303,0,0,0,0,0,38.15,37.92,0
2,15,15.02631579,0.026315789,0,0,0,0,0,146.06,18.42,0
2,15.02631579,15.05263158,0.026315789,0,0,0,0,0,176.87,25.53,0
2,15.05263158,15.07894737,0.026315789,0,0,0,0,0,99.22,25.15,0
2,15.07894737,15.10526316,0.026315789,0,0,0,0,0,293.78,46.23,0
2,15.10526316,15.13157895,0.026315789,0,0,0,0,0,68.96,38.57,0
2,15.13157895,15.15789474,0.026315789,0,0,0,0,0,28.79,43.57,0
2,15.15789474,15.18421053,0.026315789,0,0,0,0,0,22.52,50.9,0
2,15.18421053,15.21052632,0.026315789,0,0,0,0,0,41.74,61.14,0
2,15.21052632,15.23684211,0.026315789,0,0,0,0,0,82.6,62.3,0
